iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.02456887811422348
1000,-1.0,2.0,8,0.02159760892391205
1500,-1.0,2.0,8,0.012053766287863255
2000,-1.0,2.0,9,0.008581864647567272
2500,-1.0,2.0,8,0.00836256891489029
3000,-0.88,2.12,8,0.008351415395736694
3500,-0.88,2.12,8,0.0034217508509755135
4000,-1.0,2.0,8,0.0028579076752066612
